trip_id,origin_country,origin_airport,origin_airport_lat,origin_airport_lon,destination,destination_country,destination_airport,destination_airport_lat,destination_airport_lon,seats,return_flight_booked,departure_time,return_time,checked_bags,trip_airline,base_fare_usd,price,log_price,flight_distance_km,log_flight_distance_km,round_trip
582979-5475b9940ee240bf9328a0cc0bc9900c,US,RNO,39.4986462,-119.7733318653608,Ottawa,CA,YOW,45.323,-75.669,1,1,2023-03-31 07:00:00,2023-04-07 07:00:00,1,Air Canada,657.64,657.64,6.49017710299017,7263.449741862718,8.890747832167236,True
514785-863ac3b4eb984f1eb226d67955623a5d,US,FTW,32.75,-97.333336,Montreal,CA,YHU,45.517,-73.417,1,0,2023-06-21 15:00:00,,0,Delta Air Lines,221.83,221.83,5.406409148898877,2488.569942046905,7.819865260504579,False
588386-233db0f627cf4aaaaeaa9a632daa5ec4,US,CLE,41.406618550000005,-81.85120214358412,Philadelphia,US,PHL,39.872,-75.241,1,1,2023-04-04 08:00:00,2023-04-06 08:00:00,2,American Airlines,106.0,106.0,4.672828834461906,1166.189989287239,7.062354420481631,True
600395-79e934e3dcf2462587a0beffbebd6783,US,HOU,29.64714905,-95.27692608634597,Memphis,US,MEM,35.042,-89.977,2,1,2023-04-21 13:00:00,2023-04-24 13:00:00,0,Delta Air Lines,320.19,640.38,6.463622104983058,1558.5825563099838,7.3521734723254415,True
474120-a87f749cf54b4f4ca9262d07080a06b2,CA,YQB,46.79217485,-71.38577821056776,San Francisco,US,SFO,37.619,-122.375,2,1,2023-02-02 07:00:00,2023-02-07 07:00:00,0,Alaska Airlines,1507.83,3015.66,8.011905538078668,8486.761029829422,9.046380526013115,True
526855-8691d87fc4fe46ae941c577802c2056f,US,LAX,33.94216754999999,-118.42139298414196,Louisville,US,LOU,38.228,-85.664,1,1,2023-03-12 08:00:00,2023-03-18 08:00:00,0,Ryanair,492.47,492.47,6.2014620667521765,5932.353163883124,8.688344789833975,True
486751-e7e65a5bc12243769cf849fa1342aac7,US,LAX,33.94216754999999,-118.42139298414196,Calgary,CA,YYC,51.114,-114.02,2,1,2023-05-23 09:00:00,2023-05-26 09:00:00,1,Air Canada,687.5,1375.0,7.226936018493289,3884.57981443017,8.265027496049482,True
548504-2e8f6613291c43cbb9557975f5e273e5,US,IAH,29.9841416,-95.33298595614492,Los Angeles,US,LAX,33.942,-118.408,1,1,2024-02-26 15:00:00,2024-03-12 15:00:00,0,American Airlines,398.73,398.73,5.990789319192914,4431.701001099515,8.396764384037983,True
516704-bbf5ac8dfbcf4a0ca5d72da05cdaef8e,US,LGB,33.8155659,-118.1534292216672,New York,US,LGA,40.64,-73.779,1,1,2023-07-21 09:00:00,2023-07-25 09:00:00,1,Delta Air Lines,648.54,648.54,6.476264420049582,7917.074311044247,8.976903312699612,True
587483-3c7662807a0e4e6db083c6a40f8210d5,US,MIA,25.7949789,-80.28672341095405,New York,US,JFK,40.64,-73.779,1,1,2023-02-17 07:00:00,2023-02-19 07:00:00,1,Finnair,307.07,307.07,5.730327029878313,3513.6568275661066,8.164697168629662,True
532941-698a9657afc54bfe9899124d281da13f,CA,YZD,43.862,-79.37,New York,US,JFK,40.64,-73.779,1,1,2023-03-06 07:00:00,2023-03-15 07:00:00,1,American Airlines,113.83,113.83,4.743452773788098,1165.937651295085,7.06213820437695,True
