user_id,married,has_children,age,age_group,generation,tenure_months,has_booked,browsing_sessions,booking_sessions,total_sessions,booking_ratio,canceled_trips,canceled_rate,total_discounted_bookings,discount_usage_rate,sessions_with_discount_shown,discount_shown_ratio,discount_conversion_rate,engagement_discount_score,active_days,avg_page_clicks,avg_session_length,avg_rooms,avg_nights,avg_hotel_price,total_hotel_spending,hotel_booking_count,unique_hotel_cities,avg_hotel_duration_hours,avg_days_before_checkin,seats,avg_checked_bags,avg_flight_price,total_flight_spending,flight_booking_count,unique_flight_dest_countries,num_intl_flights,round_trip_ratio,avg_flight_distance_km,avg_days_before_departure,active_months,sessions_per_month,activity_level,total_spending,customer_value,customer_type,trip_complexity_index
531931,0,0,40,31–40,Millennial,27,1,6.0,2.0,8,0.25,0.0,0.0,0.0,0.0,2.0,0.25,0.0,0.0,90,9.38,70.88,1.5,3.5,714.0,1428.0,2.0,2.0,77.9515625,8.0,1.5,0.5,1676.63,3353.26,2.0,1.0,0.0,1.0,6477.5425764269485,7.5,3.0,2.67,occasional planner,4781.26,1593.75,Hotel+Flight,1.17
611065,0,0,43,41–50,Millennial,25,1,4.0,4.0,8,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137,19.88,146.75,1.5,2.25,677.75,2711.0,4.0,4.0,48.821340625,6.5,1.5,0.75,1790.8725,7163.49,4.0,2.0,0.0,1.0,6687.64006191919,5.75,4.57,1.75,occasional planner,9874.49,2160.72,Hotel+Flight,1.25
229330,1,0,48,41–50,Gen X,33,1,4.0,4.0,8,0.5,0.0,0.0,0.0,0.0,1.0,0.125,0.0,0.0,177,16.12,119.62,1.75,2.0,1028.5,4114.0,4.0,3.0,44.748603124999995,7.25,1.75,0.25,720.8025,2883.21,4.0,2.0,1.0,1.0,2401.4677063505583,7.25,5.9,1.36,rare planner,6997.21,1185.97,Hotel+Flight,1.25
586762,0,0,37,31–40,Millennial,26,1,5.0,3.0,8,0.375,0.0,0.0,1.0,0.333,2.0,0.25,0.5,4.16,110,15.75,116.38,1.3333333333333333,7.333333333333333,2140.6666666666665,6422.0,3.0,3.0,169.14327916666664,6.333333333333333,1.3333333333333333,0.3333333333333333,762.4966666666666,2287.49,3.0,1.0,0.0,1.0,5637.207517782568,5.666666666666667,3.67,2.18,occasional planner,8709.49,2373.16,Hotel+Flight,1.0
536035,0,0,29,21–30,Millennial,27,1,6.0,2.0,8,0.25,0.0,0.0,0.0,0.0,3.0,0.375,0.0,0.0,98,13.88,102.75,1.5,1.5,291.0,582.0,2.0,2.0,36.143893750000004,5.0,1.5,0.5,931.7,1863.4,2.0,2.0,0.0,1.0,2969.7226052673614,5.0,3.27,2.45,occasional planner,2445.4,747.83,Hotel+Flight,1.17
513030,0,0,39,31–40,Millennial,27,1,5.0,3.0,8,0.375,0.0,0.0,0.0,0.0,3.0,0.375,0.0,0.0,74,12.25,91.5,1.0,5.0,882.6666666666666,2648.0,3.0,3.0,115.49188333333332,7.333333333333333,1.0,0.0,202.27666666666667,606.83,3.0,1.0,0.0,1.0,2412.9336115426345,7.333333333333333,2.47,3.24,frequent planner,3254.83,1317.74,Hotel+Flight,0.67
477730,0,0,46,41–50,Gen X,28,1,3.0,5.0,8,0.625,0.0,0.0,1.0,0.2,1.0,0.125,1.0,2.5,141,23.12,171.75,1.2,4.6,1470.0,7350.0,5.0,4.0,103.84468999999999,7.2,1.2,0.0,973.184,4865.92,5.0,2.0,0.0,1.0,6328.8523383056645,6.6,4.7,1.7,occasional planner,12215.92,2599.13,Hotel+Flight,0.8
570821,1,1,42,41–50,Millennial,26,1,5.0,3.0,8,0.375,0.0,0.0,1.0,0.333,1.0,0.125,1.0,4.16,136,11.88,88.25,1.0,3.6666666666666665,414.0,1242.0,3.0,3.0,81.74220416666667,6.666666666666667,1.0,0.6666666666666666,482.6233333333333,1447.87,3.0,1.0,0.0,1.0,5827.889828532527,6.333333333333333,4.53,1.77,occasional planner,2689.87,593.79,Hotel+Flight,0.89
517076,0,0,39,31–40,Millennial,27,1,3.0,5.0,8,0.625,0.0,0.0,3.0,0.6,4.0,0.5,0.75,22.5,175,26.25,196.75,1.2,7.0,941.0,4705.0,5.0,4.0,167.3631975,8.2,1.0,0.0,459.085,918.17,2.0,2.0,1.0,1.0,4946.734817662564,7.0,5.83,1.37,rare planner,5623.17,964.52,Hotel+Flight,0.73
585248,1,1,49,41–50,Gen X,26,1,7.0,1.0,8,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124,11.0,81.88,1.0,2.0,242.0,242.0,1.0,1.0,41.2045625,8.0,1.0,0.0,394.55,394.55,1.0,1.0,0.0,1.0,4472.7376205751725,8.0,4.13,1.94,occasional planner,636.55,154.13,Hotel+Flight,0.67
