user_id,birthdate,gender,married,has_children,home_country,home_city,home_airport,home_airport_lat,home_airport_lon,sign_up_date,tenure_months,age,age_group,generation
531931,1984-05-26,0,0,0,Usa,San Jose,SJC,37.362,-121.929,2023-01-15,27,40,31–40,Millennial
611065,1981-08-20,0,0,0,Usa,Los Angeles,LAX,33.942,-118.408,2023-02-22,25,43,41–50,Millennial
229330,1976-11-08,0,1,0,Usa,Colorado Springs,COS,38.806,-104.7,2022-06-27,33,48,41–50,Gen X
586762,1987-09-26,0,0,0,Canada,Montreal,YUL,45.468,-73.741,2023-02-11,26,37,31–40,Millennial
536035,1995-11-09,1,0,0,Usa,New York,LGA,40.777,-73.872,2023-01-17,27,29,21–30,Millennial
513030,1985-08-14,0,0,0,Usa,San Jose,SJC,37.362,-121.929,2023-01-06,27,39,31–40,Millennial
477730,1978-11-01,0,0,0,Usa,San Diego,SAN,32.733,-117.189,2022-12-19,28,46,41–50,Gen X
570821,1983-02-07,0,1,1,Usa,Miami,TNT,25.862,-80.897,2023-02-03,26,42,41–50,Millennial
517076,1985-06-28,0,0,0,Usa,Charlotte,CLT,35.214,-80.943,2023-01-08,27,39,31–40,Millennial
585248,1975-12-12,0,1,1,Usa,El Paso,ELP,31.807,-106.378,2023-02-10,26,49,41–50,Gen X
539267,1982-01-26,0,1,0,Usa,Philadelphia,PHL,39.872,-75.241,2023-01-19,26,43,41–50,Millennial
611954,1981-02-24,0,0,0,Usa,St. Louis,STL,38.748,-90.36,2023-02-22,25,44,41–50,Millennial
577541,1989-10-24,0,0,0,Usa,Baltimore,BWI,39.175,-76.668,2023-02-06,26,35,31–40,Millennial
524607,1987-09-14,0,1,0,Usa,Los Angeles,LAX,33.942,-118.408,2023-01-11,27,37,31–40,Millennial
549579,1981-04-20,0,0,0,Usa,St. Louis,STL,38.748,-90.36,2023-01-24,26,43,41–50,Millennial
547266,1968-07-05,0,1,0,Canada,Winnipeg,YWG,49.91,-97.234,2023-01-23,26,56,51–60,Gen X
532119,1971-11-04,0,1,0,Canada,Toronto,YTZ,43.627,-79.396,2023-01-15,27,53,51–60,Gen X
562032,2001-09-28,0,0,0,Usa,Minneapolis,MSP,44.88,-93.217,2023-01-30,26,23,21–30,Gen Z
545879,1997-10-25,0,0,0,Usa,New York,LGA,40.777,-73.872,2023-01-22,26,27,21–30,Gen Z
630176,1971-10-15,0,1,1,Usa,Montgomery,MXF,32.379,-86.362,2023-03-02,25,53,51–60,Gen X
517324,1954-12-16,0,1,0,Usa,Austin,AUS,30.194,-97.67,2023-01-08,27,70,61–70,Boomer
539953,1988-06-01,1,1,1,Usa,New York,LGA,40.777,-73.872,2023-01-19,26,36,31–40,Millennial
577944,1955-04-27,0,1,0,Usa,San Diego,NZY,32.699,-117.215,2023-02-06,26,69,61–70,Boomer
565601,1974-02-16,1,1,1,Usa,Austin,AUS,30.194,-97.67,2023-02-01,26,51,51–60,Gen X
