user_id,birthdate,gender,married,has_children,home_country,home_city,home_airport,home_airport_lat,home_airport_lon,sign_up_date
531931,1984-05-26,F,false,false,usa,san jose,SJC,37.362,-121.929,2023-01-15
611065,1981-08-20,F,false,false,usa,los angeles,LAX,33.942,-118.408,2023-02-22
229330,1976-11-08,F,true,false,usa,colorado springs,COS,38.806,-104.7,2022-06-27
586762,1987-09-26,F,false,false,canada,montreal,YUL,45.468,-73.741,2023-02-11
536035,1995-11-09,M,false,false,usa,new york,LGA,40.777,-73.872,2023-01-17
513030,1985-08-14,F,false,false,usa,san jose,SJC,37.362,-121.929,2023-01-06
477730,1978-11-01,F,false,false,usa,san diego,SAN,32.733,-117.189,2022-12-19
570821,1983-02-07,F,true,true,usa,miami,TNT,25.862,-80.897,2023-02-03
517076,1985-06-28,F,false,false,usa,charlotte,CLT,35.214,-80.943,2023-01-08
585248,1975-12-12,F,true,true,usa,el paso,ELP,31.807,-106.378,2023-02-10
539267,1982-01-26,F,true,false,usa,philadelphia,PHL,39.872,-75.241,2023-01-19
611954,1981-02-24,F,false,false,usa,st. louis,STL,38.748,-90.36,2023-02-22
577541,1989-10-24,F,false,false,usa,baltimore,BWI,39.175,-76.668,2023-02-06
524607,1987-09-14,F,true,false,usa,los angeles,LAX,33.942,-118.408,2023-01-11
549579,1981-04-20,F,false,false,usa,st. louis,STL,38.748,-90.36,2023-01-24
547266,1968-07-05,F,true,false,canada,winnipeg,YWG,49.91,-97.234,2023-01-23
532119,1971-11-04,F,true,false,canada,toronto,YTZ,43.627,-79.396,2023-01-15
562032,2001-09-28,F,false,false,usa,minneapolis,MSP,44.88,-93.217,2023-01-30
545879,1997-10-25,F,false,false,usa,new york,LGA,40.777,-73.872,2023-01-22
630176,1971-10-15,F,true,true,usa,montgomery,MXF,32.379,-86.362,2023-03-02
517324,1954-12-16,F,true,false,usa,austin,AUS,30.194,-97.67,2023-01-08
539953,1988-06-01,M,true,true,usa,new york,LGA,40.777,-73.872,2023-01-19
